address,bathrooms,bedrooms,parking,landArea,price,primaryPropertyType,propertyFeatures,state,suburb,postcode
"Lot 4741 Balcarra Street - Meridian Estate, Clyde North VIC 3978",2,4,2,313,"$641,000",House,"Ensuite, Built in wardrobes, Secure Parking, SAVE $$$ ON STAMP DUTY!!!",VIC,Clyde North,3978
Highett VIC 3190,2,3,2,113.1,,New Developments,"North Facing, Air conditioning, Floorboards, Alarm System, Intercom, Built in wardrobes, Bath, Dishwasher, Secure Parking, Balcony / Deck",VIC,Highett,3190
"16 Pavo Street, Belmont VIC 3216",1,3,2,676,,House,,VIC,Belmont,3216
"101/276 Neerim Road, Carnegie VIC 3163",2,2,1,,,Apartment,,VIC,Carnegie,3163
"519/199 William Street, Melbourne VIC 3000",1,2,0,,,Apartment,,VIC,Melbourne,3000
"23 Lake View Drive, Safety Beach VIC 3936",2,3,2,636,"$1,100,000 - $1,200,000",House,,VIC,Safety Beach,3936
"38 Bulla Road, Strathmore VIC 3041",2,3,2,,"Auction - $1,500,000 - $1,600,000",House,,VIC,Strathmore,3041
Highett VIC 3190,2,2,1,86.1,,New Developments,"Air conditioning, Floorboards, Alarm System, Intercom, Built in wardrobes, Bath, Dishwasher, Secure Parking, Balcony / Deck",VIC,Highett,3190
"LOT  30919 COWAL STREET, Truganina VIC 3029",2,4,2,350,,House,"Ensuite, Built in wardrobes, Secure Parking",VIC,Truganina,3029
"LOT  30637 RANGIPO STREET, Truganina VIC 3029",2,4,2,301,,House,Ensuite,VIC,Truganina,3029
"Lot 303 Pear Parade, Fraser Rise VIC 3336",2,4,2,374,"$705,250",House,0,VIC,Fraser Rise,3336
Highett VIC 3190,2,2,1,128.8,,New Developments,"Air conditioning, Floorboards, Intercom, Alarm System, Built in wardrobes, Bath, Dishwasher, Secure Parking, Balcony / Deck",VIC,Highett,3190
"20 Vineyard Circuit, Yarrawonga VIC 3730",0,0,0,680,"$220,000 - $250,000",Land,,VIC,Yarrawonga,3730
Highett VIC 3190,2,2,1,84.9,,New Developments,"Air conditioning, Floorboards, Alarm System, Intercom, Built in wardrobes, Bath, Dishwasher, Secure Parking, Balcony / Deck",VIC,Highett,3190
"5484 Geelong-Ballan Road, Ballan VIC 3342",0,0,0,11654.9464896,Contact Agent,Land,,VIC,Ballan,3342
Highett VIC 3190,1,2,1,72.4,,New Developments,"North Facing, Air conditioning, Floorboards, Alarm System, Intercom, Built in wardrobes, Bath, Dishwasher, Secure Parking, Balcony / Deck",VIC,Highett,3190
"1 Phalaris Park Drive, Lovely Banks VIC 3213",2,4,2,525,"$730,000 - $790,000",House,"Study, Rumpus Room, Built In Robes, Dishwasher, Bathtub, Gas Appliances, Ducted Heating, Ensuite(s), Outdoor Entertainment Area, Courtyard, Remote Garage, Secure Parking, Workshop, Fully Fenced",VIC,Lovely Banks,3213
Highett VIC 3190,1,1,1,58,,New Developments,"North Facing, Air conditioning, Floorboards, Alarm System, Intercom, Built in wardrobes, Bath, Dishwasher, Secure Parking, Balcony / Deck",VIC,Highett,3190
"5/444 Station Street, Bonbeach VIC 3196",2,3,2,,"$930,000",Townhouse/Villa,,VIC,Bonbeach,3196
West Melbourne VIC 3003,2,2,1,,Contact Agent,Apartment,"Ensuite(s), Secure parking, Air conditioning, Ensuite, Intercom, Built in wardrobes, Internal Laundry, Dishwasher, Secure Parking, Balcony / Deck",VIC,West Melbourne,3003
"11 Neptune Street, Cape Paterson VIC 3995",2,3,1,514,,House,,VIC,Cape Paterson,3995
"Lot 116 Pear Parade, Fraser Rise VIC 3336",2,3,2,312,"$671,250",House,0,VIC,Fraser Rise,3336
