address,bathrooms,bedrooms,parking,landArea,price,primaryPropertyType,propertyFeatures,state,suburb,postcode
"90 Keith Avenue, Edithvale VIC 3196",2,4,2,928,"$1,350,000 - $1,450,000",House,,VIC,Edithvale,3196
"3 Donald Street, Croydon VIC 3136",1,3,2,464,"$880,000 - $950,000",House,"Air Conditioning, Heating, Built-In Wardrobes, Close to Transport, Close to Shops, Close to Schools, Study",VIC,Croydon,3136
"202/3 Duggan Street, Brunswick West VIC 3055",1,2,1,,"EOI Closes 18th July - $420,000-$450,000",Apartment,"Built-In Wardrobes, Close to Transport, Close to Shops, Intercom, Close to Schools, Security Access, Lift Installed, Car Parking - Basement, Carpeted, Dishwasher, Floorboards",VIC,Brunswick West,3055
"37 Carisbrook Street, Armstrong Creek VIC 3217",2,4,2,400,"$660,000-$710,000",House,"Deck, Fully Fenced, Outdoor Entertainment Area, Remote Garage, Built-in Wardrobes, Dishwasher, Floorboards, Air Conditioning, Ducted Cooling, Ducted Heating, Evaporative Cooling, Gas Heating, Ensuite",VIC,Armstrong Creek,3217
"18 Buckland Court, Yea VIC 3717",2,4,2,1002,"$949,999.00","Any,House","Air Conditioning  Reverse Cycle, Built-In Wardrobes, Butler's Pantry, Child's Retreat, Ensuite, Formal Lounge, Internal Laundry, Modern Bathroom, Modern Kitchen, Walk-In Robe, Alfresco, Garage  Double, Area Views, Close to Parklands, Close to Schools, Close to Shops",VIC,Yea,3717
"1/5 Bannister Street, North Bendigo VIC 3550",2,2,1,,"$560,000 - $595,000",House,,VIC,North Bendigo,3550
Icy Creek VIC 3833,0,0,0,729,"$150,000",Land,,VIC,Icy Creek,3833
"3 Hardys Lane, Cheshunt VIC 3678",2,3,2,3960,"$750,000",Rural,"Permanent creek frontage, 1980's built Three bedroom home, Ensuite and walk in robe to the main bedroom, Large living area with open fire, Laminate timber floors, Outdoor entertaining area with insulated roof, Double carport, Integrated pull down external blinds on veranda, Additional 30m2 stand alone building, Excellent bore delivering potable water, External shedding for storage",VIC,Cheshunt,3678
"CA4S2 Hylands Lane, Heathcote VIC 3523",0,0,0,163897.68501,"$510,000 - $560,000",Land,,VIC,Heathcote,3523
"16 Pavo Street, Belmont VIC 3216",1,3,2,676,,House,,VIC,Belmont,3216
"101/276 Neerim Road, Carnegie VIC 3163",2,2,1,,,Apartment,,VIC,Carnegie,3163
"519/199 William Street, Melbourne VIC 3000",1,2,0,,,Apartment,,VIC,Melbourne,3000
"7 Dana Avenue, Blairgowrie VIC 3942",2,3,2,799,Auction Sat 20 Jul at 11am (Unless Sold Prior),House,,VIC,Blairgowrie,3942
"93 William Street, Wallan VIC 3756",3,7,4,6468,"$1,650,000",House,,VIC,Wallan,3756
"250 Lot 707 Guinea Road, Officer VIC 3809",2,4,2,392,"$833,000",House,"Ensuite, Built in wardrobes, Secure Parking, SAVE $$$ ON STAMP DUTY!!!",VIC,Officer,3809
"1625 Montego Boulevard, Sunbury VIC 3429",1,3,2,266,,House,"Ensuite, Floorboards, Double glazed windows, Energy efficient appliances, Built in wardrobes, Internal Laundry, Gas, Cable or Satellite, Broadband internet access, Bath, Secure Parking, Heating",VIC,Sunbury,3429
"30 Stubberfield Road, Tarneit VIC 3029",2,4,2,,Contact Agent!,House,"Air Conditioning, Close to Transport, Close to Shops, Close to Schools, Courtyard",VIC,Tarneit,3029
"1016 Ligar Street, Ballarat North VIC 3350",1,2,2,317,"$360,000 - $380,000",House,,VIC,Ballarat North,3350
"32 Antares Loop, Epping VIC 3076",2,4,2,,AUCTION Sat 13 Jul 11:45am,House,"Heating, Built-In Wardrobes, Close to Transport, Close to Shops, Alarm System, Close to Schools, Ensuite, Carpeted, Security System",VIC,Epping,3076
"13 Paperbark Street, Doveton VIC 3177",1,3,4,,"$590,000 - $649,000",House,,VIC,Doveton,3177
"5116 Northern Highway, Tooborac VIC 3522",0,0,0,347,,Land,,VIC,Tooborac,3522
"35 Progress Drive, Fraser Rise VIC 3336",2,4,1,224,"$550,000 - $590,000 I MUST BE SOLD!",House,Laundry,VIC,Fraser Rise,3336
"48 The Promenade, Somers VIC 3927",3,6,0,1136,"$4,500,000 to $4,750,000",House,"Tennis Court, Beach Front",VIC,Somers,3927
"71 Billson Street, Wonthaggi VIC 3995",2,3,2,703,,House,"Air conditioning, Ensuite, Built in wardrobes, Internal Laundry, Bath, Heating, Dishwasher, Secure Parking, Shed, Fully fenced, Balcony / Deck, Garden / Courtyard, Ground floor, North Facing, Wall / ceiling insulation",VIC,Wonthaggi,3995
"52 Lake Road, Kyabram VIC 3620",1,3,2,699,"$349,000 - $369,000",House,"Built-in Robes, Air-Conditioner, Split System Heating, Deck, Shed, Fully Fenced",VIC,Kyabram,3620
"4 Post Office Lane, Wail VIC 3401",0,0,0,4046.85642,"$150,000",Land,,VIC,Wail,3401
"11 Knight Street, Maddingley VIC 3340",2,5,0,576,"$889,000 -  $920,000",House,"Ensuite, Alarm System, Heating, Dishwasher, Double glazed windows, Energy efficient appliances, Wall / ceiling insulation, Solar panels, Tiles in the Garage, Wooden floor, carpet in bedrooms, Powerrooms, High Cieiling .",VIC,Maddingley,3340
"16 Sundews Crescent, Armstrong Creek VIC 3217",0,0,0,,"$310,000 - $340,000",Land,,VIC,Armstrong Creek,3217
"7 Rythdale Court, Glen Waverley VIC 3150",2,4,2,693,Contact Agent,House,,VIC,Glen Waverley,3150
"221 Lot 702 Hansel Avenue, Officer VIC 3809",2,4,2,350,"$774,000",House,"Ensuite, Built in wardrobes, Secure Parking, BRAND NEW DESIGN HOT OFF THE PRESS!",VIC,Officer,3809
"514 Kooyong Road, Caulfield South VIC 3162",3,4,3,627.2,"$1,400,000 - $1,540,000",House,,VIC,Caulfield South,3162
"365A Humffray Street, Brown Hill VIC 3350",1,3,1,550,"$365,000 - $385,000",House,,VIC,Brown Hill,3350
"16 Pavo Street, Belmont VIC 3216",1,3,2,676,,House,,VIC,Belmont,3216
"101/276 Neerim Road, Carnegie VIC 3163",2,2,1,,,Apartment,,VIC,Carnegie,3163
"519/199 William Street, Melbourne VIC 3000",1,2,0,,,Apartment,,VIC,Melbourne,3000
"303/687 Glen Huntly Road, Caulfield VIC 3162",2,2,1,102,"$680,000 - $748,000",Apartment,"Broadband, Built In Robes, Dishwasher, Floorboards, Intercom System, Secure Parking",VIC,Caulfield,3162
"1008/8 Hallenstein Street, Footscray VIC 3011",1,1,0,,"$350,000 to $390,000",Apartment,,VIC,Footscray,3011
"3/42 Davis Street, Warrnambool VIC 3280",3,4,2,2392,"$1,200,000 to $1,300,000",House,"Air Conditioning, Heating, Area Views, Built-In Wardrobes, Close to Transport, Close to Shops, Pets Allowed, Close to Schools, Ensuite, City Views, Security Access, Prestige Homes, Car Parking - Surface, Carpeted, Kitchenette, Openable Windows, Courtyard, Dishwasher, Floorboards, Fully Fenced, Study",VIC,Warrnambool,3280
"1241 Nemi Parade, Tarneit VIC 3029",0,0,0,309,Just Listed!!,Land,,VIC,Tarneit,3029
"195 Majors Line Road, Tooborac VIC 3522",0,0,0,161874.2568,,Land,,VIC,Tooborac,3522
"3 Glendon Drive, Eastwood VIC 3875",0,0,0,726,"$285,000",Land,,VIC,Eastwood,3875
Donnybrook VIC 3064,0,0,0,410,"$405,000",Land,"Close to Transport, Close to Shops, Close to Schools",VIC,Donnybrook,3064
"202/15 Clifton Street, Prahran VIC 3181",1,2,1,,"$485,000-$530,000",Apartment,,VIC,Prahran,3181
"2 Jordan way, Yea VIC 3717",2,3,2,838,"$724,999.00","Any,House","Air Conditioning  Reverse Cycle, Bath  Built-in, Built-In Wardrobes, Ensuite, Media Room, Modern Bathroom, Modern Kitchen, Walk-In Robe, Alfresco, Garage  Double, Area Views, Close to Parklands, Close to Schools, Close to Shops",VIC,Yea,3717
"39 Carlyle Street, Ashwood VIC 3147",1,3,3,710,"$ 1,400,000 - $1,500,000",House,,VIC,Ashwood,3147
"2a Lawry Street, Wodonga VIC 3690",2,2,2,164,"$529,000",Townhouse/Villa,"Built-In Wardrobes, Close to Transport, Close to Shops, Close to Schools, Ensuite, Carpeted, Openable Windows, Roller Door Access, Dishwasher, Fully Fenced",VIC,Wodonga,3690
"2 Vermont Street, Horsham VIC 3400",2,3,3,,,House,,VIC,Horsham,3400
"272A Mason Street, Altona North VIC 3025",2,3,3,,"$1,030,000 - $1080,000",House,Ensuite,VIC,Altona North,3025
"13 Berington Drive, Williams Landing VIC 3027",2,3,2,,"$820,000 - $850,000",House,,VIC,Williams Landing,3027
"7/244 Pascoe Vale Road, Essendon VIC 3040",2,2,1,,"$640,000 - $700,000",Apartment,,VIC,Essendon,3040
"88 Fogarty Street, Williams Landing VIC 3027",2,4,2,,"$865,000 -  $925,000",House,,VIC,Williams Landing,3027
"15 Duo Walk, Werribee VIC 3030",2,3,2,,"$460,000 - $480,000",House,"Close to Transport, Close to Shops, Close to Schools, Dishwasher, Floorboards, Fully Fenced",VIC,Werribee,3030
"4 Bistre Road, Tarneit VIC 3029",0,0,0,433,"$365,000 - $385,000",Land,,VIC,Tarneit,3029
"409 Olympic Parade, Maiden Gully VIC 3551",1,3,2,80937.1284,"$850,000 - $900,000",House,"Built-in Robes, Floorboards, Fireplace, Air-Conditioner, Deck, Shed",VIC,Maiden Gully,3551
"229 Betula Avenue, Mill Park VIC 3082",1,3,2,,$580k-$620k Must Be Sold  Auct Sat 15 June @ 3pm,House,,VIC,Mill Park,3082
"16 Pavo Street, Belmont VIC 3216",1,3,2,676,,House,,VIC,Belmont,3216
"101/276 Neerim Road, Carnegie VIC 3163",2,2,1,,,Apartment,,VIC,Carnegie,3163
"519/199 William Street, Melbourne VIC 3000",1,2,0,,,Apartment,,VIC,Melbourne,3000
"305 Taj Rise, Botanic Ridge VIC 3977",0,0,0,392,"$478,000",Land,,VIC,Botanic Ridge,3977
Clyde VIC 3978,3,3,2,350,Up to 19.5% Yield | NDIS,House,"Courtyard, Fully Fenced, Outdoor Entertainment Area, Remote Garage, Secure Parking, Broadband Internet Available, Built-in Wardrobes, Dishwasher, Floorboards, Pay TV Access, Air Conditioning, Ducted Heating, Split-System Air Conditioning",VIC,Clyde,3978
"304 Taj Rise, Botanic Ridge VIC 3977",0,0,0,350,"$451,000",Land,,VIC,Botanic Ridge,3977
"11A Wendy Place, Warrnambool VIC 3280",2,4,2,,Auction,House,,VIC,Warrnambool,3280
"4/68 Woornack Road, Carnegie VIC 3163",1,1,1,,"$295,000",Apartment,,VIC,Carnegie,3163
"39 Noskin Road, Timboon VIC 3268",0,0,0,445154.2062,For sale by EOI - closing 5pm 12th July 2024,Any,,VIC,Timboon,3268
"31 Bridges Avenue, Mooroolbark VIC 3138",2,5,4,967,"$790,000 - $869,000",House,,VIC,Mooroolbark,3138
"29 LASCELLES STREET, Hopetoun VIC 3396",0,0,0,,"$55,000",Land,,VIC,Hopetoun,3396
"10 Wills Court, Sandhurst VIC 3977",2,4,2,938,"$1,600,000 - $1,750,000",House,,VIC,Sandhurst,3977
"131 Dyar Avenue, Mildura VIC 3500",2,3,2,744,"$650,000 - $690,000",House,Secure Parking,VIC,Mildura,3500
"62 Turner Street, Leongatha VIC 3953",1,3,1,601,,House,,VIC,Leongatha,3953
"6/11 Caselli Street, Ballarat East VIC 3350",2,4,2,230,"$695,000 - $745,000",House,"Study, Dishwasher, Built in wardrobes, Floorboards, Broadband internet access, Ducted Heating, Ducted Cooling, Remote Garage, Secure Parking, Garden / Courtyard, Outdoor Entertainment Area, Fully fenced",VIC,Ballarat East,3350
"231/1 Ascot Vale Road, Flemington VIC 3031",1,1,0,,"$300,000 to $330,000",Apartment,,VIC,Flemington,3031
"5 Orbit Street, Clyde VIC 3978",2,3,1,,"$630,000 - $660,000",House,,VIC,Clyde,3978
"40 Brentwood Drive, Glen Waverley VIC 3150",2,4,2,,AUCTION,House,,VIC,Glen Waverley,3150
"5 Albury Avenue, Donnybrook VIC 3064",0,0,0,570,"$520,000 - $550,000",Land,,VIC,Donnybrook,3064
"115 Maradona Boulevard, Deanside VIC 3336",2,3,1,,"$550,000-$570,000, MONDAY,17th 4.30PM-4.45pm OPEN",House,"Ensuite, Dishwasher, Built-in Robes, Floorboards, Ducted Heating, Evaporative Cooling, Alarm, Remote Garage, Outdoor Entertainment, Fully Fenced",VIC,Deanside,3336
"8 Charolais Way, Clyde North VIC 3978",2,4,2,,"$860,000 - $930,000",House,"Fully Fenced, Outdoor Entertainment Area, Remote Garage, Built-in Wardrobes, Dishwasher, Ducted Cooling, Ducted Heating, Solar Panels",VIC,Clyde North,3978
"28 Eagle Road, Armstrong Creek VIC 3217",2,3,1,228,"$530,000-$580,000",House,"Remote Garage, Secure Parking, Built-in Wardrobes, Dishwasher, Floorboards, Air Conditioning, Ducted Heating, Split-System Air Conditioning, Split-System Heating",VIC,Armstrong Creek,3217
"2 Jordan way, Yea VIC 3717",2,4,2,838,"$899,999.00","Any,House","Air Conditioning  Reverse Cycle, Appliances  Stainless Steel Dishwasher \u0026amp; Oven, Built-In Wardrobes, Butler's Pantry, Child's Retreat, Ensuite, Home Theatre, Living Area, Modern Bathroom, Modern Kitchen, Study, Walk-In Robe, Alfresco, Garage  Double, Area Views, Close to Parklands, Close to Schools, Close to Shops",VIC,Yea,3717"16 Pavo Street, Belmont VIC 3216",1,3,2,676,,House,,VIC,Belmont,3216
"101/276 Neerim Road, Carnegie VIC 3163",2,2,1,,,Apartment,,VIC,Carnegie,3163
"519/199 William Street, Melbourne VIC 3000",1,2,0,,,Apartment,,VIC,Melbourne,3000
"20 Matheson Street, Lucas VIC 3350",2,4,2,478,"$530,000 - $550,000",House,,VIC,Lucas,3350
"103 Worns Lane, Yarrambat VIC 3091",3,4,2,10115,"$1,900,000 - $2,090,000",House,"Floorboards, Bath, Shed, Balcony / Deck, Swimming Pool, Wood Fire Heating, Split System Unit, Double Carport",VIC,Yarrambat,3091
"15 Sundowner Avenue, Clarinda VIC 3169",2,3,2,530,"$800,000-$880,000",House,,VIC,Clarinda,3169
"1A Glengarriff Crescent, Montmorency VIC 3094",1,2,2,290,"$780,000 - $840,000",House,"Study, Built in wardrobes, Garden / Courtyard, Fully fenced, Outdoor Entertainment Area, Shed",VIC,Montmorency,3094
"4 Lakeview Avenue, Williamstown VIC 3016",2,3,2,,"$1,250,000 - $1,350,000",House,,VIC,Williamstown,3016
"322/18 Station Street, Sandringham VIC 3191",1,1,1,,"$350,000 - $380,000",Apartment,,VIC,Sandringham,3191
"3 Settlers Way, Cairnlea VIC 3023",2,4,2,,Contact Agent,House,,VIC,Cairnlea,3023
"21 Azas Street, Truganina VIC 3029",0,0,0,400,"$400,000 to $440,000 - VENDOR MUST SELL!!!",Land,,VIC,Truganina,3029
"7 Silverdene Avenue, Sydenham VIC 3037",2,3,1,,"$559,000 - $590,000",House,,VIC,Sydenham,3037
"531 Cape Paterson Road, Cape Paterson VIC 3995",3,6,6,1950584.79444,EOI ending 26th July 2024 @ 2pm $9.6 m to $10.6 m,Any,,VIC,Cape Paterson,3995
"4/44 Kerferd Street, Essendon North VIC 3041",1,2,1,,"Private Sale $410,000",Apartment,,VIC,Essendon North,3041
"61 Dell Cct, Morwell VIC 3840",1,2,0,,"$255,000",Apartment,"Garden / Courtyard, Built-in wardrobe, Split System Air Conditioning, Gas Heating",VIC,Morwell,3840
"6 Bowerbird Place, Whittlesea VIC 3757",0,0,0,679,"$435,000",Land,,VIC,Whittlesea,3757
"26 Bena Road, Korumburra VIC 3950",2,4,4,8093,"$900,000",House,,VIC,Korumburra,3950
"34 Mockridge Drive, Kangaroo Flat VIC 3555",1,3,2,713,"$475,000 - $515,000",House,,VIC,Kangaroo Flat,3555
"11 Highview Terrace, Kangaroo Flat VIC 3555",1,2,1,250,"$420,000 - $440,000",House,,VIC,Kangaroo Flat,3555
"52 Samuel Road, Blackburn South VIC 3130",1,3,2,586,AUCTION,House,,VIC,Blackburn South,3130
"59 Highlander Street, Torquay VIC 3228",2,4,2,663,"$1,795,000 - $1,830,000",House,Ensuite,VIC,Torquay,3228
"3/8 BLoomfield Avenue, Maribyrnong VIC 3032",2,3,4,,"$890,000",House,,VIC,Maribyrnong,3032
"8 Gunyah Road, Blackburn North VIC 3130",1,3,1,585,"$960,000 - $1,050,000",House,,VIC,Blackburn North,3130
"16 Pavo Street, Belmont VIC 3216",1,3,2,676,,House,,VIC,Belmont,3216
"101/276 Neerim Road, Carnegie VIC 3163",2,2,1,,,Apartment,,VIC,Carnegie,3163
"519/199 William Street, Melbourne VIC 3000",1,2,0,,,Apartment,,VIC,Melbourne,3000
Tarneit VIC 3029,0,0,0,,Contact Agent,Land,,VIC,Tarneit,3029
"49B Magnolia Road, Gardenvale VIC 3185",3,4,3,,Expressions of Interest,Townhouse/Villa,Study,VIC,Gardenvale,3185
Tarneit VIC 3029,0,0,0,420,Contact Agent,Land,,VIC,Tarneit,3029
"1/32-34 Welsford Street, Shepparton VIC 3630",1,2,1,240,"$380,000 - $400,000",Apartment,"Air conditioning, Built in wardrobes, Close to Schools, Close to Shops, Close to Transport, First Home Buyer, Fully fenced, Secure Parking",VIC,Shepparton,3630
"203/712-714 Station Street, Box Hill VIC 3128",1,1,1,,"$330,000 - $360,000",Apartment,,VIC,Box Hill,3128
"306 Taj Rise, Botanic Ridge VIC 3977",0,0,0,396,"$478,000",Land,,VIC,Botanic Ridge,3977
"44 Heath Crescent, Hampton East VIC 3188",1,3,2,,"$1,300,000 to $1,400,000",House,,VIC,Hampton East,3188
"1/5 Kipling Avenue, Mooroolbark VIC 3138",1,2,1,,"$590,000 - $640,000",House,,VIC,Mooroolbark,3138
"727/18 Albert Street, Footscray VIC 3011",2,2,1,,"$460,000-$490,000",Apartment,"Air Conditioning, Area Views, Built-In Wardrobes, Close to Transport, Close to Shops, Intercom, Ensuite, City Views, Security Access, Carpeted, High Clearance, Openable Windows, Dishwasher, Floorboards",VIC,Footscray,3011
"12 Spoonbill Close, Williams Landing VIC 3027",2,4,2,462,"Auction $650,000-$700,000",House,,VIC,Williams Landing,3027
"4 Bandicoot Court, Cape Paterson VIC 3995",0,0,0,589,"$455,000 - $475,000",Land,,VIC,Cape Paterson,3995
Tarneit VIC 3029,0,0,0,350,Contact Agent,Land,,VIC,Tarneit,3029
"48-50 Victoria Parade, Kilmore VIC 3764",1,3,1,2752,"$710,000 to $780,000",House,"Secure Parking, Floorboards",VIC,Kilmore,3764
"607/1 Porter St, Hawthorn East VIC 3123",1,1,1,,,Apartment,,VIC,Hawthorn East,3123
"31 Anchorage Road, Ventnor VIC 3922",1,2,1,,"$529,000",House,,VIC,Ventnor,3922
"65 Mitchell Road, Tatong VIC 3673",5,5,6,115901.9678688,"$2,000,000 - $2,200,000",House,"Air Conditioning, Area Views, Built-In Wardrobes, Pool, Open Fire Place, Prestige Homes, 3 Phase Power, Broadband Internet Available, Study",VIC,Tatong,3673
"5847 Westbrook The Edge, Truganina VIC 3029",0,0,0,448,"$520,000 - $550,000",Land,,VIC,Truganina,3029
"13/275-277 Jells Road, Wheelers Hill VIC 3150",3,4,2,,AUCTION,Townhouse/Villa,"Air Conditioning, Area Views, Built-In Wardrobes, Close to Transport, Close to Shops, Alarm System, Intercom, Close to Schools, Ensuite, Carpeted, Disabled Access, Exhaust, Security System",VIC,Wheelers Hill,3150
"65 Campaspe Esplanade, Echuca VIC 3564",2,3,3,620,"$680,000 - $710,000",House,"Air Conditioning, Heating, Built-In Wardrobes, Ensuite",VIC,Echuca,3564
"8 Sierra Court, Hoppers Crossing VIC 3029",1,3,2,568,"$600,000 - $640,000",House,,VIC,Hoppers Crossing,3029
"16 Pavo Street, Belmont VIC 3216",1,3,2,676,,House,,VIC,Belmont,3216
"101/276 Neerim Road, Carnegie VIC 3163",2,2,1,,,Apartment,,VIC,Carnegie,3163
"519/199 William Street, Melbourne VIC 3000",1,2,0,,,Apartment,,VIC,Melbourne,3000
"49 Porter Street, Morwell VIC 3840",1,3,4,637,"$389,000",House,,VIC,Morwell,3840
"77 Stony Point Road, Crib Point VIC 3919",1,3,6,570,"$650,000 - $695,000",House,,VIC,Crib Point,3919
"607 Dunphy Street, Tarneit VIC 3029",2,3,1,270,,House,"Ensuite, Floorboards, Double glazed windows, Energy efficient appliances, Built in wardrobes, Internal Laundry, Cable or Satellite, Gas, Broadband internet access, Heating, Bath, Secure Parking",VIC,Tarneit,3029
"1 Duncan Court, Shepparton VIC 3630",2,3,3,808,"$550,000 - $600,000",House,,VIC,Shepparton,3630
"18 Brighton Avenue, Wollert VIC 3750",5,5,2,,"$2,900,000 $3,100,000",House,,VIC,Wollert,3750
"202/28 Galileo Gateway, Bundoora VIC 3083",2,2,1,,"$495,000",Apartment,,VIC,Bundoora,3083
"605 Dunphy Street, Tarneit VIC 3029",2,4,2,321,,House,"Ensuite, Floorboards, Energy efficient appliances, Double glazed windows, Built in wardrobes, Internal Laundry, Cable or Satellite, Gas, Broadband internet access, Bath, Heating, Secure Parking",VIC,Tarneit,3029
"124 Franklin North - Stage 6, Traralgon VIC 3844",0,0,0,674,"$249,000",Land,,VIC,Traralgon,3844
"84 Boomerang Road, Donnybrook VIC 3064",2,4,2,315,In Your Budget and Brand New!,House,Ensuite,VIC,Donnybrook,3064
"601/8C Evergreen Mews, Armadale VIC 3143",1,1,1,,"$500,000 - $550,000",Apartment,"Air Conditioning, Balcony, Built In Robes, Dishwasher, Floorboards, Gym, Secure Parking",VIC,Armadale,3143
"8A Oaks Street, Lilydale VIC 3140",0,0,0,610,"$520,000 - $570,000",Land,,VIC,Lilydale,3140
"76 Lakeview Drive, Lilydale VIC 3140",3,5,3,863,"$1,100,000 - $1,200,000",House,"Heating, Built-In Wardrobes, Close to Transport, Close to Shops, Open Fire Place, Close to Schools, Ensuite",VIC,Lilydale,3140
"203/23 Mills Boulevard, Alphington VIC 3078",2,2,1,,"$680,000 - $720,000",Apartment,"Air Conditioning, Heating, Built-In Wardrobes, Close to Transport, Close to Shops, Intercom, Close to Schools, Ensuite, Car Parking - Basement, Carpeted, Openable Windows",VIC,Alphington,3078
"38 BREMER AVENUE, Leneva VIC 3691",2,4,2,665,"$649,000",House,"Deck, Fully Fenced, Outdoor Entertainment Area, Remote Garage, Secure Parking, Built-in Wardrobes, Dishwasher, Study, Ducted Heating, Evaporative Cooling",VIC,Leneva,3691
"10/95 Melbourne Road, Williamstown VIC 3016",1,1,1,,"$310,000 - $330,000",Apartment,"Built-In Wardrobes, Close to Transport, Close to Shops, Close to Schools, Floorboards",VIC,Williamstown,3016
"47 Tran Avenue, Diggers Rest VIC 3427",2,4,2,337,"From $678,104",House,"Alfresco, Dining, Ensuite, Family, Laundry, Lounge, Porch, Walk-in Linen, Walk-in Robe, Express Range Home, Titled Land, Ready To Build, Upgraded Ceiling Height, Flooring, Heating & Cooling Throughout, Overhead Cupboards To Kitchen & Double Glazing Allowance, Range Of Fixtures & Fittings To Choose From, OH&S, Council Requirements & Site Cost Allowance Included",VIC,Diggers Rest,3427
"6131 Hanoverian Street, Aintree VIC 3336",2,3,2,294,,House,"Ensuite, Floorboards, Built in wardrobes, Internal Laundry, Cable or Satellite, Gas, Broadband internet access, Bath, Heating, Secure Parking",VIC,Aintree,3336
"191 Copernicus Way, Keilor Downs VIC 3038",3,5,2,813,"$760,000 - $820,000",House,"Built-In Wardrobes, Close to Transport, Close to Shops, Close to Schools, Ensuite, Evaporative Cooling",VIC,Keilor Downs,3038
"58 Wedmore Crescent, Sunbury VIC 3429",2,4,2,686,"$580,000 - $620,000",House,,VIC,Sunbury,3429
"45 Hinterland Rise, Wattle Bank VIC 3995",0,0,0,20234.2821,"$730,000",Land,,VIC,Wattle Bank,3995
"16 Pavo Street, Belmont VIC 3216",1,3,2,676,,House,,VIC,Belmont,3216
"101/276 Neerim Road, Carnegie VIC 3163",2,2,1,,,Apartment,,VIC,Carnegie,3163
"519/199 William Street, Melbourne VIC 3000",1,2,0,,,Apartment,,VIC,Melbourne,3000
"40 Broome Crescent, Wonthaggi VIC 3995",2,4,0,1011,"$530,000",House,"Dishwasher, Built-in Robes, Floorboards, Fireplace",VIC,Wonthaggi,3995
"123 Franklin North - Stage 6, Traralgon VIC 3844",0,0,0,716,"$265,000",Land,,VIC,Traralgon,3844
"2611 Majorelle Way, Clyde VIC 3978",2,4,2,231,,House,"Ensuite, Floorboards, Built in wardrobes, Internal Laundry, Cable or Satellite, Gas, Broadband internet access, Bath, Heating, Secure Parking",VIC,Clyde,3978
"10 Navigator Street, Maribyrnong VIC 3032",1,3,4,934,"$1,350,000",House,,VIC,Maribyrnong,3032
"49 Yellowfin Drive, Tarneit VIC 3029",2,4,2,506,CONTACT AGENT,House,,VIC,Tarneit,3029
"2418 Frankston-Flinders Road, Bittern VIC 3918",1,3,1,615,"$630,000 - $660,000",House,,VIC,Bittern,3918
"503/1050 Mt Alexander Road, Essendon VIC 3040",2,2,1,,"$530,000 - $570,000",Apartment,"2 Toilets, Builtin Robes, Dishwasher, Ducted Cooling, Ducted Heating, Floorboards, Intercom, Remote Garage Door",VIC,Essendon,3040
"4/29 Cambridge Road, Mooroolbark VIC 3138",2,3,2,278,"$850,000 - $935,000",House,,VIC,Mooroolbark,3138
"7 Lillium Lane, Torquay VIC 3228",3,4,2,217,"$995,000",Townhouse/Villa,"Built in wardrobes, Dishwasher, Fully fenced, Outdoor Entertaining, Remote Garage, Rumpus Room, Air conditioning, Heating, Stone Bench Tops, Study, Walk in Pantry, Ensuite",VIC,Torquay,3228
"38 Clarke Avenue, Wattle Glen VIC 3096",2,3,4,1056,"$940,000 - $990,000",House,"Built in wardrobes, Ducted Heating, Evaporative Cooling, Floorboards, Outdoor Entertainment Area",VIC,Wattle Glen,3096
"72 Oriel Road, Ivanhoe VIC 3079",2,3,2,636,"$1,300,000 - $1,400,000",House,"Close to Transport, Close to Shops, Close to Schools",VIC,Ivanhoe,3079
"28 Medlar Avenue, Manor Lakes VIC 3024",2,4,2,448,Contact Agent,House,"Air Conditioning, Built-In Wardrobes, Close to Transport, Close to Shops, Alarm System, Close to Schools, Ensuite, Car Parking - Surface, Carpeted, Kitchenette, Toilet Facilities, Dishwasher, Floorboards, Fully Fenced",VIC,Manor Lakes,3024
"505/39 Coventry Street, Southbank VIC 3006",2,2,1,,"$690,000 to $720,000",Apartment,,VIC,Southbank,3006
"161 Griffith St, Port Fairy VIC 3284",2,6,1,,"$1,500,000",House,"Balcony, Shed, Built-in Wardrobes, Dishwasher, Floorboards",VIC,Port Fairy,3284
Strathtulloh VIC 3338,2,4,2,400,Contact Agent,House,"Air conditioning, Ensuite, Alarm System, Built in wardrobes, Internal Laundry, Pets allowed, Gas, Gas, Heating, Dishwasher, Balcony / Deck, North Facing, Wall / ceiling insulation, Solar hot water, Tv antenna, clothes line, alfresco",VIC,Strathtulloh,3338
"4/253 Hull Road, Mooroolbark VIC 3138",1,2,1,161,"$590,000 - $640,000",Townhouse/Villa,"Air Conditioning, Heating, Built-In Wardrobes, Close to Transport, Close to Shops, Close to Schools, Carpeted, Dishwasher",VIC,Mooroolbark,3138
"11 Spirit Crescent, Armstrong Creek VIC 3217",2,4,2,392,$625k - $685k,House,,VIC,Armstrong Creek,3217
"57B Second Avenue, Altona North VIC 3025",2,3,2,,"$820,000 - $900,000",House,,VIC,Altona North,3025
"31 Elma Road, Glenmaggie VIC 3858",2,5,5,38286,"$795,000",Any,,VIC,Glenmaggie,3858
"2B Corio Street, Glenroy VIC 3046",1,3,1,,PRIVATE SALE | $650K-$710K,Townhouse/Villa,Built-In Wardrobes,VIC,Glenroy,3046
"16 Pavo Street, Belmont VIC 3216",1,3,2,676,,House,,VIC,Belmont,3216
"101/276 Neerim Road, Carnegie VIC 3163",2,2,1,,,Apartment,,VIC,Carnegie,3163
